ID	Value	ModifyType	Param1Min	Param1Max	Param2Min	Param2Max	Group1	Group2	Group3	Group4	Group5	Group6	Group7	Group8	Group9	Group10
41424		atPhysicsCriticalStrike	1095	1095												
41425		atPhysicsOvercomeBase	1251	1251												
41426		atSolarCriticalStrike	925	925												
41427		atNeutralCriticalStrike	771	771												
41428		atLunarCriticalStrike	771	771												
41429		atPoisonCriticalStrike	771	771												
41430		atSolarAndLunarCriticalStrike	925	925												
41431		atSolarAttackPowerBase	1379	1379												
41432		atVitalityBase	2003	2003												
41433		atMagicShield	1363	1363												
41434		atDodge	818	818												
41435		atParryValueBase	6304	6304												
41436		atHasteBase	1090	1090												
41437		atSurplusValueBase	1090	1090												
41438		atStrainBase	1090	1090												
41439		atHasteBase	801	801												
41440		atPhysicsCriticalStrike	1162	1162												
41441		atPhysicsOvercomeBase	1242	1242												
41442		atParryBase	818	818												
41443		atNeutralCriticalStrike	1242	1242												
41444		atNeutralOvercomeBase	1162	1162												
41445		atPhysicsCriticalStrike	1242	1242												
41446		atLunarCriticalStrike	1082	1082												
41447		atTherapyPowerBase	1688	1688												
41448		atLunarCriticalStrike	921	921												
41449		atPoisonCriticalStrike	1082	1082												
41450		atPoisonOvercomeBase	1282	1282												
41451		atTherapyPowerBase	1708	1708												
41452		atPoisonCriticalStrike	881	881												
41453		atPhysicsCriticalStrike	1082	1082												
41454		atPoisonOvercomeBase	1322	1322												
41455		atPhysicsOvercomeBase	1322	1322												
41456		atPhysicsCriticalStrike	1282	1282												
41457		atPhysicsOvercomeBase	1442	1442												
41458		atSolarAndLunarCriticalStrike	1082	1082												
41459		atSolarAndLunarOvercomeBase	1282	1282												
41460		atDodge	1090	1090												
41461		atPhysicsOvercomeBase	1162	1162												
41462		atParryBase	1090	1090												
41463		atLunarCriticalStrike	1122	1122												
41464		atLunarOvercomeBase	1242	1242												
41465		atTherapyPowerBase	1650	1650												
41466		atPhysicsCriticalStrike	1122	1122												
41467		atPhysicsOvercomeBase	1282	1282												
41468		atPhysicsCriticalStrike	1202	1202												
41469		atSolarAttackPowerBase	1446	1446												
41470		atSolarCriticalStrike	1092	1092												
41471		atSolarOvercomeBase	1260	1260												
41472		atVitalityBase	2101	2101												
41473		atMagicShield	1429	1429												
41474		atDodge	857	857												
41475		atParryBase	572	572												
41476		atParryValueBase	6611	6611												
41477		atHasteBase	1143	1143												
41478		atSurplusValueBase	1143	1143												
41479		atStrainBase	1143	1143												
41480		atNeutralAttackPowerBase	1401	1401												
41481		atNeutralCriticalStrike	1092	1092												
41482		atNeutralOvercomeBase	1260	1260												
41483		atTherapyPowerBase	1709	1709												
41484		atHasteBase	840	840												
41485		atPhysicsCriticalStrike	1218	1218												
41486		atPhysicsOvercomeBase	1302	1302												
41487		atMagicShield	1143	1143												
41488		atParryBase	857	857												
41489		atNeutralAttackPowerBase	1356	1356												
41490		atNeutralCriticalStrike	1302	1302												
41491		atNeutralOvercomeBase	1218	1218												
41492		atPhysicsAttackPowerBase	1111	1111												
41493		atPhysicsCriticalStrike	1302	1302												
41494		atLunarAttackPowerBase	1401	1401												
41495		atLunarCriticalStrike	1134	1134												
41496		atLunarOvercomeBase	1260	1260												
41497		atTherapyPowerBase	1770	1770												
41498		atLunarCriticalStrike	966	966												
41499		atPoisonAttackPowerBase	1378	1378												
41500		atPoisonCriticalStrike	1134	1134												
41501		atPoisonOvercomeBase	1344	1344												
41502		atTherapyPowerBase	1791	1791												
41503		atPoisonCriticalStrike	924	924												
41504		atPoisonAttackPowerBase	1356	1356												
41505		atPoisonOvercomeBase	1386	1386												
41506		atPhysicsAttackPowerBase	1092	1092												
41507		atPhysicsOvercomeBase	1386	1386												
41508		atPhysicsCriticalStrike	1344	1344												
41509		atSolarAndLunarAttackPowerBase	1356	1356												
41510		atSolarAndLunarCriticalStrike	1134	1134												
41511		atSolarAndLunarOvercomeBase	1344	1344												
41512		atDodge	1143	1143												
41513		atPhysicsAttackPowerBase	1205	1205												
41514		atPhysicsOvercomeBase	1218	1218												
41515		atParryBase	1143	1143												
41516		atLunarAttackPowerBase	1356	1356												
41517		atLunarCriticalStrike	1176	1176												
41518		atLunarOvercomeBase	1302	1302												
41519		atTherapyPowerBase	1730	1730												
41520		atLunarCriticalStrike	1050	1050												
41521		atPhysicsCriticalStrike	1176	1176												
41522		atPhysicsOvercomeBase	1344	1344												
41523		atPhysicsShieldBase	1017	1017												
41524		atStrainBase	976	976												
41525		atDodge	610	610												
41526		atParryValueBase	2161	2161												
41527		atPhysicsShieldBase	1424	1424												
41528		atSurplusValueBase	651	651												
41529		atTherapyPowerBase	1882	1882												
41530		atStrainBase	570	570												
41531		atSolarCriticalStrike	1177	1177												
41532		atVitalityBase	1635	1635												
41533		atMagicShield	1112	1112												
41534		atToughnessBase	445	445												
41535		atSurplusValueBase	1335	1335												
41536		atNeutralCriticalStrike	1177	1177												
41537		atTherapyPowerBase	1489	1489												
41538		atMagicCriticalStrike	1177	1177												
41539		atSurplusValueBase	1068	1068												
41540		atLunarCriticalStrike	1177	1177												
41541		atPoisonCriticalStrike	1177	1177												
41542		atSolarAndLunarCriticalStrike	1177	1177												
41543		atDodge	667	667												
41544		atParryBase	667	667												
41545		atParryValueBase	6432	6432												
41546		atSolarCriticalStrike	1202	1202												
41547		atSurplusValueBase	1069	1069												
41548		atVitalityBase	1670	1670												
41549		atNeutralCriticalStrike	1202	1202												
41550		atTherapyPowerBase	1521	1521												
41551		atMagicCriticalStrike	1202	1202												
41552		atParryValueBase	6570	6570												
41553		atToughnessBase	454	454												
41554		atStrainBase	1363	1363												
41555		atLunarCriticalStrike	1202	1202												
41556		atPoisonCriticalStrike	1202	1202												
41557		atSolarAndLunarCriticalStrike	1202	1202												
41558		atParryBase	1136	1136												
41559		atSurplusValueBase	636	636												
41560		atStrainBase	727	727												
41561		atSolarAttackPowerBase	1266	1266												
41562		atSolarCriticalStrike	1366	1366												
41563		atStrainBase	1215	1215												
41564		atMagicShield	1549	1549												
41565		atSurplusValueBase	1033	1033												
41566		atNeutralAttackPowerBase	1266	1266												
41567		atNeutralCriticalStrike	1366	1366												
41568		atTherapyPowerBase	2389	2389												
41569		atPhysicsAttackPowerBase	1055	1055												
41570		atPhysicsCriticalStrike	1366	1366												
41571		atPhysicsShieldBase	1808	1808												
41572		atLunarAttackPowerBase	1266	1266												
41573		atLunarCriticalStrike	1366	1366												
41574		atPoisonAttackPowerBase	1266	1266												
41575		atPoisonCriticalStrike	1366	1366												
41576		atSolarAndLunarCriticalStrike	1366	1366												
41577		atDodge	1291	1291												
41578		atSurplusValueBase	1136	1136												
41579		atParryBase	1291	1291												
41580		atParryValueBase	7466	7466												
41581		atSurplusValueBase	723	723												
41582		atStrainBase	826	826												
41583		atSolarOvercomeBase	1366	1366												
41584		atMagicShield	1291	1291												
41585		atToughnessBase	516	516												
41586		atStrainBase	1549	1549												
41587		atNeutralOvercomeBase	1366	1366												
41588		atTherapyPowerBase	1728	1728												
41589		atMagicCriticalStrike	1366	1366												
41590		atPhysicsOvercomeBase	1366	1366												
41591		atPhysicsShieldBase	1291	1291												
41592		atLunarOvercomeBase	1366	1366												
41593		atPoisonOvercomeBase	1366	1366												
41594		atSolarAndLunarOvercomeBase	1366	1366												
41595		atSurplusValueBase	1215	1215												
41596		atHasteBase	1366	1366												
41597		atHasteBase	569	569												
41598		atDecriticalDamagePowerBase	607	607												
41599		atNeutralCriticalStrike	1139	1139												
41600		atLunarCriticalStrike	1139	1139												
41601		atPoisonCriticalStrike	1139	1139												
41602		atSolarAttackPowerBase	1285	1285												
41603		atSolarCriticalStrike	1387	1387												
41604		atSurplusValueBase	1233	1233												
41605		atVitalityBase	1927	1927												
41606		atDodge	1311	1311												
41607		atHasteBase	839	839												
41608		atNeutralAttackPowerBase	1285	1285												
41609		atNeutralCriticalStrike	1387	1387												
41610		atMagicCriticalStrike	1387	1387												
41611		atPhysicsAttackPowerBase	1071	1071												
41612		atPhysicsCriticalStrike	1387	1387												
41613		atDodge	787	787												
41614		atStrainBase	1259	1259												
41615		atLunarAttackPowerBase	1285	1285												
41616		atLunarCriticalStrike	1387	1387												
41617		atPoisonAttackPowerBase	1285	1285												
41618		atPoisonCriticalStrike	1387	1387												
41619		atSolarAndLunarAttackPowerBase	1285	1285												
41620		atSolarAndLunarCriticalStrike	1387	1387												
41621		atSurplusValueBase	1154	1154												
41622		atParryBase	1311	1311												
41623		atParryValueBase	7581	7581												
41624		atStrainBase	1069	1069												
41625		atHasteBase	1202	1202												
41626		atMagicShield	1136	1136												
41627		atDodge	1136	1136												
41628		atSurplusValueBase	1000	1000												
41629		atSolarCriticalStrike	673	673												
41630		atNeutralCriticalStrike	673	673												
41631		atNeutralCriticalStrike	561	561												
41632		atPhysicsCriticalStrike	673	673												
41633		atLunarCriticalStrike	673	673												
41634		atLunarCriticalStrike	561	561												
41635		atPoisonCriticalStrike	673	673												
41636		atPoisonCriticalStrike	561	561												
41637		atSolarAndLunarCriticalStrike	673	673												
41638		atSolarAttackPowerBase	1407	1407												
41639		atDecriticalDamagePowerBase	598	598												
41640		atNeutralAttackPowerBase	1407	1407												
41641		atLunarAttackPowerBase	1407	1407												
41642		atPoisonAttackPowerBase	1407	1407												
41643		atSolarAndLunarAttackPowerBase	1407	1407												
41644		atSolarOvercomeBase	673	673												
41645		atHasteBase	561	561												
41646		atNeutralOvercomeBase	673	673												
41647		atPoisonOvercomeBase	673	673												
41648		atSolarAndLunarOvercomeBase	673	673												
41649		atSolarOvercomeBase	1345	1345												
41650		atNeutralOvercomeBase	1345	1345												
41651		atTherapyPowerBase	2099	2099												
41652		atLunarOvercomeBase	1345	1345												
41653		atPoisonOvercomeBase	1345	1345												
41654		atSolarAndLunarOvercomeBase	1345	1345												
41655		atDecriticalDamagePowerBase	617	617												
41656		atNeutralCriticalStrike	1156	1156												
41657		atLunarCriticalStrike	1156	1156												
41658		atPoisonCriticalStrike	1156	1156												
41659		atStrainBase	1048	1048												
41660		atSurplusValueBase	419	419												
41661		atAllTypeCriticalDamagePowerBase	349	349												
41662		atPhysicsCriticalDamagePowerBase	349	349												
41663		atVitalityBase	1048	1048												
41664		atMagicOvercome	1107	1107												
41665		atAllTypeCriticalStrike	738	738												
41666		atAllTypeCriticalDamagePowerBase	554	554												
41667		atAllTypeCriticalDamagePowerBase	369	369												
41668		atPhysicsCriticalDamagePowerBase	554	554												
41669		atPhysicsCriticalDamagePowerBase	369	369												
41670		atMagicCriticalDamagePowerBase	369	369												
41671		atMagicOvercome	658	658												
41672		atMagicOvercome	761	761												
41673		atAllTypeCriticalStrike	761	761												
41674		atMagicOvercome	1142	1142												
41675		atAllTypeCriticalStrike	1142	1142												
41676		atHasteBase	1164	1164												
41677		atPhysicsOvercomeBase	1522	1522												
41678		atMagicOvercome	1522	1522												
41679		atAllTypeCriticalStrike	1522	1522												
41680		atHasteBase	1455	1455												
41681		atPhysicsOvercomeBase	1903	1903												
41682		atMagicOvercome	1903	1903												
41683		atAllTypeCriticalStrike	1903	1903												
41684		atStrainBase	307	307												
41685		atMagicOvercome	734	734												
41686		atPhysicsOvercomeBase	734	734												
41687		atSurplusValueBase	701	701												
41688		atAllTypeCriticalDamagePowerBase	234	234												
41689		atStrainBase	383	383												
41690		atMagicCriticalStrike	436	436												
41691		atMagicCriticalStrike	508	508												
41692		atParryValueBase	2040	2040												
41693		atSurplusValueBase	339	339												
41694		atMagicCriticalStrike	649	649												
41695		atAllTypeCriticalStrike	649	649												
41696		atPhysicsCriticalStrike	649	649												
41697		atAllTypeCriticalDamagePowerBase	282	282												
41698		atPhysicsCriticalDamagePowerBase	282	282												
41699		atMagicCriticalDamagePowerBase	282	282												
41700		atAllTypeCriticalStrike	415	415												
41701		atMagicShield	401	401												
41702		atStrainBase	428	428												
41703		atHasteBase	418	418												
41704		atPoisonOvercomeBase	501	501												
41705		atSolarAndLunarOvercomeBase	501	501												
41706		atParryValueBase	1878	1878												
41707		atMagicCriticalStrike	604	604												
41708		atSurplusValueBase	823	823												
41709		atDodge	662	662												
41710		atPhysicsOvercomeBase	1217	1217												
41711		atMagicOvercome	1217	1217												
41712		atAllTypeCriticalStrike	1217	1217												
41713		atParryValueBase	1970	1970												
41714		atMagicOvercome	569	569												
41715		atAllTypeCriticalStrike	569	569												
41716		atPhysicsCriticalStrike	569	569												
41717		atMagicCriticalStrike	727	727												
41718		atPhysicsCriticalStrike	727	727												
41719		atAllTypeCriticalDamagePowerBase	316	316												
41720		atMagicCriticalStrike	633	633												
41721		atDodge	395	395												
41722		atMagicOvercome	501	501												
41723		atSurplusValueBase	445	445												
41724		atMagicShield	418	418												
41725		atMagicCriticalStrike	501	501												
41726		atMagicShield	482	482												
41727		atPoisonCriticalStrike	467	467												
41728		atSolarCriticalStrike	561	561												
41729		atSolarAndLunarCriticalStrike	561	561												
41730		atSolarOvercomeBase	561	561												
41731		atNeutralOvercomeBase	561	561												
41732		atLunarOvercomeBase	561	561												
41733		atSurplusValueBase	291	291												
41734		atAllTypeCriticalDamagePowerBase	291	291												
41735		atPhysicsCriticalStrike	873	873												
41736		atVitalityBase	873	873												
41737		atParryValueBase	2223	2223												
41738		atSurplusValueBase	459	459												
41739		atStrainBase	529	529												
41740		atSurplusValueBase	529	529												
41741		atMagicCriticalStrike	587	587												
41742		atMagicShield	489	489												
41743		atSurplusValueBase	326	326												
41744		atDodge	438	438												
41745		atParryBase	401	401												
41746		atHasteBase	666	666												
41747		atMagicOvercome	666	666												
41748		atMagicShield	584	584												
41749		atSurplusValueBase	389	389												
41750		atParryValueBase	2814	2814												
41751		atAllTypeCriticalStrike	666	666												
41752		atPhysicsCriticalStrike	666	666												
41753		atDodge	481	481												
41754		atMagicCriticalStrike	692	692												
41755		atParryBase	481	481												
41756		atParryValueBase	2779	2779												
41757		atSurplusValueBase	638	638												
41758		atAllTypeCriticalStrike	718	718												
41759		atStrainBase	662	662												
41760		atMagicShield	620	620												
41761		atStrainBase	719	719												
41762		atMagicShield	674	674												
41763		atMagicShield	562	562												
41764		atStrainBase	674	674												
41765		atParryValueBase	3250	3250												
41766		atDodge	562	562												
41767		atVitalityBase	913	913												
41768		atMagicOvercome	888	888												
41769		atStrainBase	789	789												
41770		atMagicCriticalStrike	888	888												
41771		atMagicShield	740	740												
41772		atSurplusValueBase	789	789												
41773		atMagicShield	617	617												
41774		atAllTypeCriticalStrike	888	888												
41775		atPhysicsCriticalStrike	888	888												
41776		atHasteBase	888	888												
41777		atParryBase	370	370												
41778		atParryValueBase	3566	3566												
41779		atDodge	370	370												
41780		atMagicOvercome	1431	1431												
41781		atMagicAttackPowerBase	954	954												
41782		atMagicOvercome	839	839												
41783		atMagicAttackPowerBase	1113	1113												
41784		atPhysicsOvercomeBase	1431	1431												
41785		atPhysicsAttackPowerBase	795	795												
41786		atPhysicsOvercomeBase	839	839												
41787		atPhysicsCriticalStrike	839	839												
41788		atMagicCriticalStrike	987	987												
41789		atVitalityBase	1480	1480												
41790		atDodge	444	444												
41791		atDodge	617	617												
41792		atSurplusValueBase	679	679												
41793		atVitalityBase	1061	1061												
41794		atMagicCriticalStrike	764	764												
41795		atStrainBase	679	679												
41796		atAllTypeCriticalStrike	764	764												
41797		atPhysicsCriticalStrike	764	764												
41798		atMagicOvercome	855	855												
41799		atSurplusValueBase	760	760												
41800		atMagicShield	712	712												
41801		atMagicCriticalStrike	855	855												
41802		atAllTypeCriticalStrike	855	855												
41803		atPhysicsCriticalStrike	855	855												
41804		atPhysicsShieldBase	831	831												
41805		atSurplusValueBase	800	800												
41806		atMagicCriticalStrike	900	900												
41807		atAllTypeCriticalStrike	900	900												
41808		atPhysicsCriticalStrike	900	900												
41809		atSurplusValueBase	1168	1168												
41810		atAllTypeCriticalStrike	818	818												
41811		atPhysicsCriticalStrike	818	818												
41812		atMagicCriticalStrike	779	779												
41813		atStrainBase	1168	1168												
41814		atAllTypeCriticalDamagePowerBase	389	389												
41815		atPhysicsCriticalDamagePowerBase	389	389												
41816		atAllTypeCriticalStrike	526	526												
41817		atMagicCriticalStrike	891	891												
41818		atVitalityBase	1215	1215												
41819		atAllTypeCriticalStrike	709	709												
41820		atMagicOvercome	709	709												
41821		atAllTypeCriticalDamagePowerBase	405	405												
41822		atPhysicsCriticalStrike	709	709												
41823		atPhysicsCriticalDamagePowerBase	405	405												
41824		atSurplusValueBase	631	631												
41825		atStrainBase	631	631												
41826		atParryValueBase	3039	3039												
41827		atMagicOvercome	1261	1261												
41828		atPhysicsOvercomeBase	1261	1261												
41829		atMagicCriticalStrike	841	841												
41830		atSurplusValueBase	1308	1308												
41831		atAllTypeCriticalStrike	916	916												
41832		atPhysicsCriticalStrike	916	916												
41833		atMagicCriticalStrike	872	872												
41834		atStrainBase	1308	1308												
41835		atMagicOvercome	916	916												
41836		atAllTypeCriticalDamagePowerBase	436	436												
41837		atPhysicsCriticalDamagePowerBase	436	436												
41838		atMagicAttackPowerBase	898	898												
41839		atStrainBase	1355	1355												
41840		atMagicOvercome	677	677												
41841		atMagicAttackPowerBase	825	825												
41842		atVitalityBase	1355	1355												
41843		atSurplusValueBase	1355	1355												
41844		atAllTypeCriticalDamagePowerBase	452	452												
41845		atPhysicsCriticalStrike	790	790												
41846		atPhysicsCriticalDamagePowerBase	452	452												
41847		atAllTypeCriticalStrike	1401	1401												
41848		atAllTypeCriticalDamagePowerBase	467	467												
41849		atPhysicsCriticalStrike	1401	1401												
41850		atParryValueBase	3377	3377												
41851		atMagicOvercome	1401	1401												
41852		atMagicAttackPowerBase	853	853												
41853		atPhysicsOvercomeBase	1401	1401												
41854		atMagicCriticalStrike	934	934												
41855		atMagicCriticalDamagePowerBase	467	467												
41856		atSurplusValueBase	1448	1448												
41857		atSurplusValueBase	579	579												
41858		atAllTypeCriticalStrike	1014	1014												
41859		atMagicAttackPowerBase	830	830												
41860		atMagicOvercome	724	724												
41861		atMagicCriticalStrike	965	965												
41862		atVitalityBase	1448	1448												
41863		atStrainBase	1448	1448												
41864		atMagicOvercome	1014	1014												
41865		atAllTypeCriticalStrike	724	724												
41866		atAllTypeCriticalDamagePowerBase	483	483												
41867		atPhysicsCriticalDamagePowerBase	483	483												
41868		atDecriticalDamagePowerBase	311	311												
41869		atVitalityBase	930	930												
41870		atNeutralCriticalStrike	664	664												
41871		atLunarCriticalStrike	797	797												
41872		atLunarCriticalStrike	664	664												
41873		atPoisonCriticalStrike	797	797												
41874		atPoisonCriticalStrike	664	664												
41875		atSolarAndLunarCriticalStrike	797	797												
41876		atSolarOvercomeBase	797	797												
41877		atNeutralOvercomeBase	797	797												
41878		atLunarOvercomeBase	797	797												
41879		atPoisonOvercomeBase	797	797												
41880		atSolarAndLunarOvercomeBase	797	797												
41881		atVitalityBase	844	844												
41882		atMagicCriticalStrike	822	822												
41883		atAllTypeCriticalStrike	822	822												
41884		atPhysicsCriticalStrike	822	822												
41885		atMagicCriticalStrike	685	685												
41886		atSolarCriticalStrike	876	876												
41887		atNeutralCriticalStrike	876	876												
41888		atNeutralCriticalStrike	730	730												
41889		atPhysicsCriticalStrike	876	876												
41890		atLunarCriticalStrike	876	876												
41891		atPoisonCriticalStrike	876	876												
41892		atSolarAndLunarCriticalStrike	876	876												
41893		atHasteBase	876	876												
41894		atHasteBase	730	730												
41895		atSolarOvercomeBase	876	876												
41896		atNeutralOvercomeBase	876	876												
41897		atPhysicsOvercomeBase	876	876												
41898		atLunarOvercomeBase	876	876												
41899		atPoisonOvercomeBase	876	876												
41900		atSolarAndLunarOvercomeBase	876	876												
41901		atHasteBase	740	740												
41902		atDecriticalDamagePowerBase	400	400												
41903		atMagicOvercome	752	752												
41904		atMagicOvercome	1074	1074												
41905		atSurplusValueBase	673	673												
41906		atMagicOvercome	841	841												
41907		atMagicOvercome	723	723												
41908		atSurplusValueBase	643	643												
41909		atPhysicsOvercomeBase	723	723												
41910		atMagicCriticalStrike	723	723												
41911		atActiveThreatCoefficient			567	567										
41912		atActiveThreatCoefficient			567	567										
41913		atActiveThreatCoefficient			567	567										
41914		atSurplusValueBase	919	919												
41915		atMagicCriticalStrike	1034	1034												
41916		atMagicCriticalStrike	930	930												
41917		atSurplusValueBase	827	827												
41918		atAllTypeCriticalStrike	930	930												
41919		atPhysicsCriticalStrike	930	930												
41920		atAllTypeCriticalStrike	1034	1034												
41921		atPhysicsCriticalStrike	1034	1034												
41922		atDodge	718	718												
41923		atActiveThreatCoefficient			653	653										
41924		atActiveThreatCoefficient			653	653										
41925		atMagicShield	695	695												
41926		atSurplusValueBase	1059	1059												
41927		atMagicCriticalStrike	1191	1191												
41928		atStrainBase	993	993												
41929		atVitalityBase	1102	1102												
41930		atMagicCriticalStrike	1072	1072												
41931		atSurplusValueBase	953	953												
41932		atPhysicsCriticalStrike	1072	1072												
41933		atStrainBase	715	715												
41934		atAllTypeCriticalStrike	1191	1191												
41935		atDodge	827	827												
41936		atSurplusValueBase	728	728												
41937		atActiveThreatCoefficient			692	692										
41938		atActiveThreatCoefficient			692	692										
41939		atDodge	613	613												
41940		atSurplusValueBase	1121	1121												
41941		atMagicCriticalStrike	1261	1261												
41942		atVitalityBase	1752	1752												
41943		atMagicOvercome	1135	1135												
41944		atSurplusValueBase	1009	1009												
41945		atPhysicsOvercomeBase	1135	1135												
41946		atMagicCriticalStrike	1135	1135												
41947		atParryBase	562	562												
41948		atDodge	803	803												
41949		atDodge	723	723												
41950		atHasteBase	932	932												
41951		atStrainBase	828	828												
41952		atSurplusValueBase	932	932												
41953		atMagicShield	777	777												
41954		atSurplusValueBase	1331	1331												
41955		atStrainBase	1183	1183												
41956		atTherapyPowerBase	1038	1038												
41957		atHasteBase	1331	1331												
41958		atVitalityBase	1849	1849												
41959		atMagicShield	1109	1109												
41960		atVitalityBase	1232	1232												
41961		atHasteBase	1198	1198												
41962		atSurplusValueBase	1065	1065												
41963		atVitalityBase	1664	1664												
41964		atHasteBase	533	533												
41965		atSurplusValueBase	1183	1183												
41966		atPhysicsShieldBase	1294	1294												
41967		atHasteBase	592	592												
41968		atSurplusValueBase	872	872												
41969		atParryBase	681	681												
41970		atParryValueBase	3939	3939												
41971		atActiveThreatCoefficient			769	769										
41972		atDodge	681	681												
41973		atHasteBase	1401	1401												
41974		atSurplusValueBase	1246	1246												
41975		atMagicCriticalStrike	1401	1401												
41976		atVitalityBase	1946	1946												
41977		atParryBase	973	973												
41978		atParryValueBase	5628	5628												
41979		atDodge	876	876												
41980		atDodge	973	973												
41981		atSurplusValueBase	856	856												
41982		atToughnessBase	273	273												
41983		atHasteBase	1261	1261												
41984		atStrainBase	1246	1246												
41985		atPhysicsShieldBase	1363	1363												
41986		atHasteBase	623	623												
41987		atHasteBase	1254	1254												
41988		atSpiritBase	349	349												
41989		atHasteBase	1791	1791												
41990		atSpunkBase	349	349												
41991		atStrengthBase	349	349												
41992		atAgilityBase	349	349												
41993		atStrainBase	545	545												
41994		atMagicAttackPowerBase	753	753												
41995		atHasteBase	1612	1612												
41996		atParryBase	876	876												
41997		atParryValueBase	5065	5065												
41998		atMagicCriticalStrike	932	932												
41999		atSurplusValueBase	828	828												
42000		atParryBase	647	647												
42001		atParryValueBase	3742	3742												
42002		atMagicOvercome	932	932												
42003		atPhysicsOvercomeBase	932	932												
42004		atDodge	647	647												
42005		atMagicOvercome	1198	1198												
42006		atStrainBase	1065	1065												
42007		atPhysicsOvercomeBase	1198	1198												
42008		atPhysicsCriticalStrike	969	969												
42009		atVitalityBase	1345	1345												
42010		atParryBase	673	673												
42011		atParryValueBase	3890	3890												
42012		atActiveThreatCoefficient			759	759										
42013		atDodge	673	673												
42014		atMagicShield	807	807												
42015		atVitalityBase	1280	1280												
42016		atStrainBase	1107	1107												
42017		atHasteBase	1246	1246												
42018		atVitalityBase	1730	1730												
42019		atVitalityBase	1033	1033												
42020		atMagicCriticalStrike	1006	1006												
42021		atSurplusValueBase	894	894												
42022		atAllTypeCriticalStrike	1006	1006												
42023		atPhysicsCriticalStrike	1006	1006												
42024		atHasteBase	1006	1006												
42025		atVitalityBase	1397	1397												
42026		atParryBase	698	698												
42027		atActiveThreatCoefficient			788	788										
42028		atMagicOvercome	1006	1006												
42029		atStrainBase	894	894												
42030		atPhysicsOvercomeBase	1006	1006												
42031		atDodge	698	698												
42032		atSurplusValueBase	614	614												
42033		atVitalityBase	1329	1329												
42034		atMagicOvercome	1293	1293												
42035		atStrainBase	1149	1149												
42036		atPhysicsOvercomeBase	1293	1293												
42037		atHasteBase	1293	1293												
42038		atVitalityBase	1796	1796												
42039		atPhysicsShieldBase	1257	1257												
42040		atMagicCriticalStrike	1042	1042												
42041		atHasteBase	1042	1042												
42042		atParryBase	724	724												
42043		atParryValueBase	4185	4185												
42044		atActiveThreatCoefficient			817	817										
42045		atStrainBase	927	927												
42046		atDodge	724	724												
42047		atSurplusValueBase	637	637												
42048		atMagicShield	869	869												
42049		atVitalityBase	1377	1377												
42050		atMagicOvercome	1340	1340												
42051		atStrainBase	1191	1191												
42052		atSpunkBase	267	267												
42053		atStrengthBase	267	267												
42054		atPhysicsOvercomeBase	1340	1340												
42055		atAgilityBase	267	267												
42056		atHasteBase	1340	1340												
42057		atPhysicsShieldBase	1303	1303												
42058		atVitalityBase	1530	1530												
42059		atMagicOvercome	1489	1489												
42060		atStrainBase	1324	1324												
42061		atSpunkBase	297	297												
42062		atStrengthBase	297	297												
42063		atPhysicsOvercomeBase	1489	1489												
42064		atAgilityBase	297	297												
42065		atVitalityBase	2068	2068												
42066		atMagicShield	1241	1241												
42067		atMagicCriticalStrike	1340	1340												
42068		atAllTypeCriticalStrike	1340	1340												
42069		atPhysicsCriticalStrike	1340	1340												
42070		atMagicShield	1117	1117												
42071		atHasteBase	1489	1489												
42072		atPhysicsShieldBase	1013	1013												
42073		atStrainBase	695	695												
42074		atSurplusValueBase	1324	1324												
42075		atParryBase	1034	1034												
42076		atParryValueBase	5979	5979												
42077		atStrainBase	579	579												
42078		atSurplusValueBase	1191	1191												
42079		atDodge	931	931												
42080		atSurplusValueBase	819	819												
42081		atMagicCriticalStrike	1489	1489												
42082		atPhysicsCriticalStrike	1489	1489												
42083		atTherapyPowerBase	1694	1694												
42084		atToughnessBase	414	414												
42085		atSurplusValueBase	1489	1489												
42086		atStrainBase	869	869												
42087		atParryBase	931	931												
42088		atParryValueBase	5381	5381												
42089		atVitalityBase	1147	1147												
42090		atSolarCriticalStrike	1116	1116												
42091		atSurplusValueBase	992	992												
42092		atVitalityBase	1550	1550												
42093		atActiveThreatCoefficient			874	874										
42094		atNeutralCriticalStrike	1116	1116												
42095		atMagicCriticalStrike	1116	1116												
42096		atPhysicsCriticalStrike	1116	1116												
42097		atParryValueBase	4481	4481												
42098		atLunarCriticalStrike	1116	1116												
42099		atPoisonCriticalStrike	1116	1116												
42100		atSolarAndLunarCriticalStrike	1116	1116												
42101		atHasteBase	1116	1116												
42102		atNeutralOvercomeBase	1116	1116												
42103		atLunarOvercomeBase	1116	1116												
42104		atPoisonOvercomeBase	1116	1116												
42105		atSolarOvercomeBase	1116	1116												
42106		atPhysicsOvercomeBase	1116	1116												
42107		atSolarAndLunarOvercomeBase	1116	1116												
42108		atVitalityBase	1475	1475												
42109		atSolarOvercomeBase	1435	1435												
42110		atSurplusValueBase	1275	1275												
42111		atVitalityBase	1993	1993												
42112		atMagicShield	1196	1196												
42113		atNeutralOvercomeBase	1435	1435												
42114		atTherapyPowerBase	1813	1813												
42115		atPhysicsOvercomeBase	1435	1435												
42116		atToughnessBase	399	399												
42117		atStrainBase	956	956												
42118		atLunarOvercomeBase	1435	1435												
42119		atPoisonOvercomeBase	1435	1435												
42120		atSolarAndLunarOvercomeBase	1435	1435												
42121		atVitalityBase	1638	1638												
42122		atSolarCriticalStrike	1594	1594												
